id;CodMun;reducao_iptu;isencao_iptu;reducao_issqn;isencao_issqn;isencao_taxas;cessao_terrenos;doacao_terrenos;outros
1;1100155;Não;Sim;Não;Não;Não;Sim;Não;Não
2;1100189;Sim;Sim;Não;Não;Não;Sim;Sim;Não
3;1100205;Não;Não;Sim;Não;Não;Sim;Não;Não
4;1100254;Não;Não;Não;Não;Não;Não;Não;Sim
5;1100262;Sim;Sim;Não;Não;Sim;Não;Sim;Não
6;1200385;Sim;Não;Não;Não;Sim;Não;Não;Não
7;1200393;Não;Não;Não;Sim;Não;Não;Não;Não
8;1200401;Não;Sim;Não;Não;Não;Não;Não;Não
9;1200427;-;-;-;-;-;-;-;-
10;1200435;-;-;-;-;-;-;-;-
11;1200450;Sim;Não;Sim;Não;Não;Não;Não;Não
12;1200500;Não;Sim;Não;Sim;Sim;Não;Não;Sim
13;1200609;-;-;-;-;-;-;-;-
14;1200708;Sim;Sim;Não;Não;Não;Não;Não;Não
15;1200807;Não;Não;Não;Não;Sim;Não;Não;Não
16;1302603;Não;Sim;Não;Não;Sim;Não;Sim;Não
17;1300680;Sim;Não;Não;Não;Não;Não;Sim;Não
18;1300706;Não;Não;Não;Não;Não;Não;Não;Sim
19;1400027;Não;Não;Não;Não;Sim;Não;Não;Não
20;1400050;Sim;Sim;Não;Não;Sim;Sim;Não;Não
21;1400100;Não;Sim;Não;Não;Sim;Não;Não;Sim
22;1500800;Sim;Sim;Sim;Não;Não;Não;Não;Não
23;1500206;Sim;Sim;Não;Não;Sim;Não;Não;Não
24;1500305;Não;Não;Não;Não;Não;Sim;Não;Sim
25;1501402;Sim;Sim;Sim;Não;Não;Não;Não;Não
26;1506807;Sim;Sim;Não;Não;Sim;Não;Não;Não
27;1600279;Não;Sim;Não;Não;Não;Sim;Não;Sim
28;1600303;Sim;Sim;Não;Sim;Sim;Não;Não;Sim
29;2111300;Sim;Não;Sim;Não;Sim;Não;Não;Não
30;2111409;Não;Não;Não;Não;Não;Não;Não;Sim
31;2111508;Sim;Sim;Sim;Sim;Sim;Não;Não;Não
32;2211001;Não;Sim;Sim;Não;Sim;Sim;Sim;Não
33;2200608;Não;Sim;Não;Sim;Sim;Sim;Sim;Não
34;2303659;Sim;Não;Não;Não;Não;Não;Não;Sim
35;2303709;Sim;Não;Sim;Não;Não;Sim;Sim;Sim
36;2304350;Não;Não;Não;Sim;Não;Sim;Sim;Não
37;2304400;Sim;Sim;Sim;Não;Sim;Não;Não;Sim
38;2408003;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não
39;2408102;Sim;Não;Sim;Não;Sim;Não;Não;Não
40;2409332;Sim;Não;Sim;Não;Sim;Sim;Não;Não
41;2503753;Não;Não;Sim;Não;Sim;Não;Não;Não
42;2504009;Sim;Não;Sim;Não;Não;Não;Não;Sim
43;2507507;Não;Sim;Sim;Não;Não;Não;Não;Não
44;2507705;Não;Não;Não;Não;Não;Sim;Sim;Não
45;2604007;Sim;Não;Não;Sim;Não;Não;Não;Não
46;2604106;Não;Sim;Sim;Não;Sim;Não;Não;Sim
47;2607901;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim
48;2607950;Sim;Não;Sim;Não;Sim;Não;Sim;Não
49;2609600;Não;Sim;Não;Não;Sim;Não;Não;Não
50;2610608;Sim;Sim;Sim;Não;Não;Não;Não;Não
51;2610707;Sim;Sim;Sim;Não;Sim;Não;Não;Não
52;2611101;Não;Sim;Não;Não;Sim;Não;Não;Não
53;2611606;Sim;Sim;Sim;Sim;Sim;Não;Não;Não
54;2704203;Não;Sim;Não;Não;Sim;Não;Não;Não
55;2704302;Sim;Não;Sim;Não;Sim;Não;Não;Não
56;2800308;Não;Sim;Sim;Não;Não;Não;Não;Não
57;2800407;Não;Sim;Não;Sim;Não;Sim;Não;Sim
58;2905602;Não;Sim;Não;Não;Não;Sim;Não;Não
59;2905701;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não
60;2910800;Sim;Sim;Sim;Não;Não;Não;Não;Não
61;2927309;Sim;Sim;Não;Não;Sim;Não;Sim;Não
62;2927408;Sim;Não;Sim;Sim;Sim;Não;Não;Sim
63;2933307;-;-;-;-;-;-;-;-
64;3106200;Sim;Não;Sim;Não;Não;Não;Não;Não
